16:18:58 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:05 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:05 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:08 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:08 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:16 index.php hit | SESSION: [] | URI: /proximity3pl
16:19:16 index.php hit | SESSION: [] | URI: /proximity3pl
16:25:11 index.php hit | SESSION: [] | URI: /proximity3pl
16:25:26 index.php hit | SESSION: [] | URI: /proximity3pl
16:25:27 index.php hit | SESSION: [] | URI: /proximity3pl
16:25:41 index.php hit | SESSION: [] | URI: /proximity3pl
16:25:44 index.php hit | SESSION: [] | URI: /proximity3pl
16:34:35 index.php hit | SESSION: [] | URI: /proximity3pl
16:34:43 index.php hit | SESSION: [] | URI: /proximity3pl
16:34:44 index.php hit | SESSION: [] | URI: /proximity3pl
16:34:52 index.php hit | SESSION: [] | URI: /proximity3pl
16:34:52 index.php hit | SESSION: [] | URI: /proximity3pl
16:37:56 index.php hit | SESSION: [] | URI: /proximity3pl
